provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
root + rhizosphere soil,,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
rhizosphere soil,,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
shoot,,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
root,,symbiontOf,http://purl.obolibrary.org/obo/RO_0002440
